antecedents,consequents,support,confidence,lift
G4,RJ,20.0,47.6,2.4
N3,RJ,20.0,55.7,2.8
"J3, G4",RJ,14.2,47.2,2.4
"M3, G4",RJ,9.6,47.3,2.4
"G4, N3",RJ,20.0,85.1,4.3
"G4, O3",RJ,12.1,48.6,2.4
"J3, N3",RJ,14.2,57.3,2.9
"M3, N3",RJ,9.6,56.1,2.8
"N3, O3",RJ,12.1,55.8,2.8
"J3, G4, N3",RJ,14.2,85.5,4.3
"M3, G4, N3",RJ,9.6,87.3,4.4
"G4, N3, O3",RJ,12.1,86.4,4.3
